======================================================================
MEDICAL PDF EXTRACTION REPORT
======================================================================
PDF: G:\Projects\Instant-ODC\data\raw\KDIGO-2022-Clinical-Practice-Guideline-for-Diabetes-Management-in-CKD.pdf
Pages: 128

Successful: 127
Review: 1
Needs re-extraction: 0
Empty pages (terminal): 0
Native extraction: 127
Qwen extraction: 1
Recovered by retry: 0
Success rate: 99.22%
Processing time: 72.35s

RE-EXTRACTION QUEUE
----------------------------------------------------------------------
No pages require re-extraction.

REVIEW QUEUE
----------------------------------------------------------------------
Page 2: low_content_88_characters

PAGE DETAILS
----------------------------------------------------------------------
Page 1: success | method=native | attempts=1 | chars=222 | time=0.01s
Page 2: review | method=qwen | attempts=1 | chars=88 | time=31.43s
Page 3: success | method=native | attempts=1 | chars=1831 | time=0.01s
Page 4: success | method=native | attempts=1 | chars=3780 | time=0.01s
Page 5: success | method=native | attempts=1 | chars=3486 | time=0.01s
Page 6: success | method=native | attempts=1 | chars=3509 | time=0.01s
Page 7: success | method=native | attempts=1 | chars=2858 | time=0.01s
Page 8: success | method=native | attempts=1 | chars=1076 | time=0.01s
Page 9: success | method=native | attempts=1 | chars=1571 | time=0.01s
Page 10: success | method=native | attempts=1 | chars=1016 | time=0.01s
Page 11: success | method=native | attempts=1 | chars=2049 | time=0.01s
Page 12: success | method=native | attempts=1 | chars=1396 | time=0.01s
Page 13: success | method=native | attempts=1 | chars=2823 | time=0.01s
Page 14: success | method=native | attempts=1 | chars=3485 | time=0.01s
Page 15: success | method=native | attempts=1 | chars=1689 | time=0.01s
Page 16: success | method=native | attempts=1 | chars=708 | time=0.01s
Page 17: success | method=native | attempts=1 | chars=2047 | time=0.01s
Page 18: success | method=native | attempts=1 | chars=6286 | time=0.02s
Page 19: success | method=native | attempts=1 | chars=2167 | time=0.01s
Page 20: success | method=native | attempts=1 | chars=2824 | time=0.07s
Page 21: success | method=native | attempts=1 | chars=3523 | time=0.13s
Page 22: success | method=native | attempts=1 | chars=3391 | time=0.01s
Page 23: success | method=native | attempts=1 | chars=4268 | time=0.02s
Page 24: success | method=native | attempts=1 | chars=2944 | time=0.01s
