======================================================================
MEDICAL PDF EXTRACTION REPORT
======================================================================
PDF: G:\Projects\Instant-ODC\data\raw\dc26s005.pdf
Pages: 43

Successful: 43
Review: 0
Needs re-extraction: 0
Empty pages (terminal): 0
Native extraction: 43
Qwen extraction: 0
Recovered by retry: 0
Success rate: 100.00%
Processing time: 12.01s

RE-EXTRACTION QUEUE
----------------------------------------------------------------------
No pages require re-extraction.

REVIEW QUEUE
----------------------------------------------------------------------
No pages require review.

PAGE DETAILS
----------------------------------------------------------------------
Page 1: success | method=native | attempts=1 | chars=4277 | time=0.05s
Page 2: success | method=native | attempts=1 | chars=6711 | time=0.03s
Page 3: success | method=native | attempts=1 | chars=7326 | time=0.04s
Page 4: success | method=native | attempts=1 | chars=7312 | time=0.03s
Page 5: success | method=native | attempts=1 | chars=5750 | time=0.02s
Page 6: success | method=native | attempts=1 | chars=6023 | time=0.04s
Page 7: success | method=native | attempts=1 | chars=7048 | time=0.06s
Page 8: success | method=native | attempts=1 | chars=7203 | time=0.04s
Page 9: success | method=native | attempts=1 | chars=6957 | time=0.03s
Page 10: success | method=native | attempts=1 | chars=7221 | time=0.04s
Page 11: success | method=native | attempts=1 | chars=7130 | time=0.04s
Page 12: success | method=native | attempts=1 | chars=4349 | time=0.02s
Page 13: success | method=native | attempts=1 | chars=4815 | time=0.03s
Page 14: success | method=native | attempts=1 | chars=5514 | time=0.02s
Page 15: success | method=native | attempts=1 | chars=5443 | time=0.03s
Page 16: success | method=native | attempts=1 | chars=7271 | time=0.04s
Page 17: success | method=native | attempts=1 | chars=7212 | time=0.03s
Page 18: success | method=native | attempts=1 | chars=3767 | time=0.04s
Page 19: success | method=native | attempts=1 | chars=6926 | time=0.03s
Page 20: success | method=native | attempts=1 | chars=7387 | time=0.04s
Page 21: success | method=native | attempts=1 | chars=7109 | time=0.04s
Page 22: success | method=native | attempts=1 | chars=7252 | time=0.03s
Page 23: success | method=native | attempts=1 | chars=6081 | time=0.03s
Page 24: success | method=native | attempts=1 | chars=3537 | time=0.02s
Page 25: success | method=native | attempts=1 | chars=3904 | time=0.02s
Page 26: success | method=native | attempts=1 | chars=7304 | time=0.03s
Page 27: success | method=native | attempts=1 | chars=7022 | time=0.02s
Page 28: success | method=native | attempts=1 | chars=7091 | time=0.03s
Page 29: success | method=native | attempts=1 | chars=9060 | time=0.04s
Page 30: success | method=native | attempts=1 | chars=9344 | time=0.04s
Page 31: success | method=native | attempts=1 | chars=9381 | time=0.04s
Page 32: success | method=native | attempts=1 | chars=9172 | time=0.04s
Page 33: success | method=native | attempts=1 | chars=9334 | time=0.04s
Page 34: success | method=native | attempts=1 | chars=9373 | time=0.05s
Page 35: success | method=native | attempts=1 | chars=9369 | time=0.06s
Page 36: success | method=native | attempts=1 | chars=9267 | time=0.06s
Page 37: success | method=native | attempts=1 | chars=9095 | time=0.05s
Page 38: success | method=native | attempts=1 | chars=9292 | time=0.06s
Page 39: success | method=native | attempts=1 | chars=9401 | time=0.05s
Page 40: success | method=native | attempts=1 | chars=9291 | time=0.05s
Page 41: success | method=native | attempts=1 | chars=9142 | time=0.06s
Page 42: success | method=native | attempts=1 | chars=9362 | time=0.06s
Page 43: success | method=native | attempts=1 | chars=7624 | time=0.04s
